# ppt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505,eco101,eco102,eco103,eco104,eco105,eco201,eco202,eco203,eco204,eco205,eco301,eco302,eco303,eco304,eco305,eco401,eco402,eco403,eco404,eco405,eco501,eco502,eco503,eco504,eco505
TIMESTEP,MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),MEAN(mm),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),VARIANCE(mm^2),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm),STD_DEV(mm)
1979-01-30T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-31T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-01T00:00:00Z,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-02T00:00:00Z,0.00321875,0.08813502,0.5184045,0.70427567,1.3287443,0.00321875,0.08813502,0.5184045,0.70427567,1.3287443,0.00321875,0.08813502,0.5184045,0.70427567,1.3287443,0.00321875,0.08813502,0.5184045,0.70427567,1.3287443,0.00321875,0.08813502,0.5184045,0.70427567,1.3287443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-03T00:00:00Z,3.698558,12.915878,21.23974,14.06853,20.02138,3.698558,12.915878,21.23974,14.06853,20.02138,3.698558,12.915878,21.23974,14.06853,20.02138,3.698558,12.915878,21.23974,14.06853,20.02138,3.698558,12.915878,21.23974,14.06853,20.02138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-04T00:00:00Z,0.47339863,1.7420372,1.6824722,2.633399,1.3375294,0.47339863,1.7420372,1.6824722,2.633399,1.3375294,0.47339863,1.7420372,1.6824722,2.633399,1.3375294,0.47339863,1.7420372,1.6824722,2.633399,1.3375294,0.47339863,1.7420372,1.6824722,2.633399,1.3375294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-05T00:00:00Z,0.065967284,0.9961995,3.1091685,5.33793,11.198,0.065967284,0.9961995,3.1091685,5.33793,11.198,0.065967284,0.9961995,3.1091685,5.33793,11.198,0.065967284,0.9961995,3.1091685,5.33793,11.198,0.065967284,0.9961995,3.1091685,5.33793,11.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-06T00:00:00Z,0.17029583,1.6605874,3.6893165,5.184591,9.0624075,0.17029583,1.6605874,3.6893165,5.184591,9.0624075,0.17029583,1.6605874,3.6893165,5.184591,9.0624075,0.17029583,1.6605874,3.6893165,5.184591,9.0624075,0.17029583,1.6605874,3.6893165,5.184591,9.0624075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-07T00:00:00Z,0.13184328,1.0638547,1.7296048,2.4868166,4.3007984,0.13184328,1.0638547,1.7296048,2.4868166,4.3007984,0.13184328,1.0638547,1.7296048,2.4868166,4.3007984,0.13184328,1.0638547,1.7296048,2.4868166,4.3007984,0.13184328,1.0638547,1.7296048,2.4868166,4.3007984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-08T00:00:00Z,0.012177215,0.03168773,0.124423824,0.19179133,0.32830742,0.012177215,0.03168773,0.124423824,0.19179133,0.32830742,0.012177215,0.03168773,0.124423824,0.19179133,0.32830742,0.012177215,0.03168773,0.124423824,0.19179133,0.32830742,0.012177215,0.03168773,0.124423824,0.19179133,0.32830742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
